Name,hs,dhw,hs_and_dhw,cs,el
B1655,84.386,2.81,87.196,0.0,4.413
B1599,48.141,1.106,49.247,0.0,2.658
B1618,71.2,2.643,73.843,0.0,4.144
B1604,18.008,1.346,19.354,0.0,3.237
B1617,69.41,2.797,72.207,0.0,4.395
B1616,60.852,2.643,63.495,0.0,4.016
B1602,14.924,1.108,16.032,0.0,2.488
B1657,39.765,4.983,44.748,0.0,8.857
B2568,38.788,4.817,43.605,0.0,8.603
B1661,22.719,2.59,25.309,0.0,3.937
B1659,24.793,1.347,26.14,0.0,3.901
B1683,24.21,2.476,26.686,0.0,3.827
B1660,43.715,5.145,48.86,0.0,8.724
B1671,23.276,2.742,26.018,0.0,4.042
B1663,16.584,1.079,17.663,0.0,2.426
B2539,69.847,9.524,79.371,0.0,20.12
B2540,69.478,9.677,79.155,0.0,20.164
B2541,69.604,9.976,79.58,0.0,20.08
B2537,69.562,9.477,79.039,0.0,19.89
B2542,69.89,9.728,79.618,0.0,20.016
B1665,21.754,2.313,24.067,0.0,4.273
B1666,18.308,2.119,20.427,0.0,3.659
B2536,69.782,9.993,79.77499999999999,0.0,19.956
B2473,18.928,2.078,21.006,0.0,3.045
B1668,14.989,1.08,16.069000000000003,0.0,2.424
B2564,16.714,1.468,18.182,0.0,9.348
B1678,43.075,5.811,48.886,0.0,10.484
B2563,42.066,5.447,47.513000000000005,0.0,9.626
B1800,31.05,3.521,34.571,0.0,5.988
B3283,75.742,8.024,83.766,0.0,14.934
B1681,17.221,1.106,18.327,0.0,2.621
B1679,22.164,2.423,24.587000000000003,0.0,3.762
B2478,46.402,7.565,53.967,0.0,15.175
B1680,31.574,3.353,34.927,0.0,5.427
B2477,46.418,7.565,53.983,0.0,15.177
B1673,32.727,4.125,36.852,0.0,6.39
B1658,47.7,7.903,55.603,0.0,16.02
B1670,18.153,1.233,19.386,0.0,2.826
B1675,16.002,1.08,17.082,0.0,2.424
B1672,24.073,2.796,26.869,0.0,4.254
B1674,44.884,4.907,49.791,0.0,8.407
B1676,19.079,1.266,20.345,0.0,3.029
B1664,19.08,1.266,20.345999999999997,0.0,3.029
B2475,69.625,12.171,81.79599999999999,0.0,25.616
B1222,28.804,2.976,31.779999999999998,0.0,4.877
B1667,19.853,1.265,21.118000000000002,0.0,3.03
B1249,26.828,3.444,30.272,0.0,5.575
B1252,17.801,1.277,19.078,0.0,3.194
B2723,36.762,4.817,41.579,0.0,8.309
B1251,20.352,2.252,22.604,0.0,3.365
B1669,47.803,6.43,54.233,0.0,12.29
B1250,45.156,5.1,50.256,0.0,8.876
B1247,35.824,4.748,40.571999999999996,0.0,8.349
B1253,32.497,3.495,35.992,0.0,5.758
B1693,27.936,2.975,30.911,0.0,4.64
B2480,46.43,7.565,53.995,0.0,15.18
B2687,53.899,5.592,59.491,0.0,10.181
B2474,137.586,23.349,160.935,0.0,50.856
B1694,46.428,5.716,52.144,0.0,10.315
B2686,46.732,5.566,52.298,0.0,9.913
B1215,32.781,3.473,36.254,0.0,5.819
B1205,88.003,10.286,98.289,0.0,19.507
B1204,60.061,7.288,67.349,0.0,13.731
B2509,28.532,3.969,32.501,0.0,7.582
B1217,79.823,9.157,88.97999999999999,0.0,17.375
B2724,28.399,4.09,32.489000000000004,0.0,7.045
B2722,31.872,4.039,35.911,0.0,6.937
B2719,28.402,4.09,32.492000000000004,0.0,7.046
B1216,66.711,7.84,74.551,0.0,14.74
B2315,37.511,4.731,42.242000000000004,0.0,8.228
B2718,31.862,4.039,35.900999999999996,0.0,6.935
