Building,type,Area,Roof,WWR,useful_area,SurfaceIndex
B3954,west,76.66,0,0.21,60.56,243
B3954,roofs,50.97,1,0.8,40.776,244
B3943,north,0.0,0,0,0,245
B3943,east,234.44,0,0.21,185.21,246
B3943,south,0.0,0,0,0,247
B3943,west,234.35,0,0.21,185.14,248
B3943,roofs,197.48,1,0.8,157.984,249
B1768,north,0.0,0,0,0,250
B1768,east,68.7,0,0.21,54.27,251
B1768,south,79.7,0,0.21,62.96,252
B1768,west,67.9,0,0.21,53.64,253
B1768,roofs,71.27,1,0.8,57.016,254
B1638,north,172.81,0,0.21,136.52,255
B1638,east,240.51,0,0.21,190.0,256
B1638,south,28.669999999999998,0,0.21,22.65,257
B1638,west,250.86,0,0.21,198.18,258
B1638,roofs,172.12,1,0.8,137.696,259
B1464,north,92.11999999999999,0,0.16,77.38,260
B1464,east,112.44999999999999,0,0.16,94.46,261
B1464,south,92.11999999999999,0,0.16,77.38,262
B1464,west,112.44999999999999,0,0.16,94.46,263
B1464,roofs,71.94,1,0.8,57.552,264
B3770,north,0.0,0,0,0,265
B3770,east,79.87,0,0.21,63.1,266
B3770,south,0.0,0,0,0,267
B3770,west,80.06,0,0.21,63.25,268
B3770,roofs,50.32,1,0.8,40.256,269
B1534,north,136.38,0,0.21,107.74,270
B1534,east,180.23999999999998,0,0.21,142.39,271
B1534,south,136.48,0,0.21,107.82,272
B1534,west,180.3,0,0.21,142.44,273
B1534,roofs,109.31,1,0.8,87.44800000000001,274
B1111,north,0.0,0,0,0,275
B1111,east,267.4,0,0.21,211.25,276
B1111,south,154.36,0,0.21,121.94,277
B1111,west,267.4,0,0.21,211.25,278
B1111,roofs,183.45,1,0.8,146.76,279
B1041,north,286.63,0,0.21,226.44,280
B1041,east,168.32,0,0.21,132.97,281
B1041,south,286.53000000000003,0,0.21,226.36,282
B1041,west,168.27,0,0.21,132.93,283
B1041,roofs,214.36,1,0.8,171.48800000000003,284
B1685,north,105.39999999999999,0,0.21,83.27,285
B1685,east,95.01,0,0.21,75.06,286
B1685,south,112.08000000000001,0,0.21,88.54,287
B1685,west,106.72999999999999,0,0.21,84.32,288
B1685,roofs,76.01,1,0.8,60.80800000000001,289
B2757,north,92.24000000000001,0,0.16,77.48,290
B2757,east,88.67,0,0.16,74.48,291
B2757,south,92.31,0,0.16,77.54,292
B2757,west,0.0,0,0,0,293
B2757,roofs,56.83,1,0.8,45.464,294
B2607,north,422.71999999999997,0,0.21,333.95,295
B2607,east,0.0,0,0,0,296
B2607,south,400.62,0,0.21,316.49,297
B2607,west,0.0,0,0,0,298
B2607,roofs,182.22,1,0.8,145.776,299
B2372,north,583.09,0,0.15,495.63,300
B2372,east,244.86999999999998,0,0.15,208.14,301
B2372,south,377.26,0,0.15,320.67,302
B2372,west,0.0,0,0,0,303
B2372,roofs,383.47,1,0.8,306.776,304
B2889,north,296.96999999999997,0,0.25,222.73,305
B2889,east,0.0,0,0,0,306
B2889,south,296.96999999999997,0,0.25,222.73,307
B2889,west,0.0,0,0,0,308
B2889,roofs,230.53,1,0.8,184.424,309
B2193,north,174.06,0,0.21,137.51,310
B2193,east,1076.58,0,0.21,850.5,311
B2193,south,163.75,0,0.21,129.36,312
B2193,west,1086.33,0,0.21,858.2,313
B2193,roofs,563.54,1,0.8,450.832,314
B2964,north,104.54,0,0.21,82.59,315
B2964,east,81.68,0,0.21,64.53,316
B2964,south,83.08,0,0.21,65.63,317
B2964,west,0.0,0,0,0,318
B2964,roofs,98.1,1,0.8,78.48,319
B2834,north,0.0,0,0,0,320
B2834,east,83.80000000000001,0,0.15,71.23,321
B2834,south,170.6,0,0.15,145.01,322
B2834,west,83.80000000000001,0,0.15,71.23,323
B2834,roofs,63.54,1,0.8,50.832,324
B4126,north,171.48,0,0.21,135.47,325
B4126,east,302.46,0,0.21,238.94,326
B4126,south,62.48,0,0.21,49.36,327
B4126,west,298.08,0,0.21,235.48,328
B4126,roofs,159.31,1,0.8,127.44800000000001,329
B2687,north,200.17,0,0.25,150.13,330
B2687,east,299.27,0,0.25,224.45,331
B2687,south,191.87,0,0.25,143.9,332
B2687,west,242.69,0,0.25,182.02,333
B2687,roofs,231.09,1,0.8,184.872,334
B2809,north,195.85,0,0.15,166.47,335
B2809,east,149.45,0,0.15,127.03,336
B2809,south,165.33,0,0.15,140.53,337
B2809,west,193.60999999999999,0,0.15,164.57,338
B2809,roofs,223.29,1,0.8,178.632,339
B2959,north,105.53,0,0.21,83.37,340
B2959,east,104.47,0,0.21,82.53,341
B2959,south,0.0,0,0,0,342
B2959,west,103.16,0,0.21,81.5,343
B2959,roofs,75.59,1,0.8,60.47200000000001,344
B2043,north,125.36,0,0.21,99.03,345
B2043,east,122.61,0,0.21,96.86,346
B2043,south,125.36,0,0.21,99.03,347
B2043,west,122.61,0,0.21,96.86,348
B2043,roofs,68.31,1,0.8,54.648,349
B2113,north,497.23,0,0.21,392.81,350
B2113,east,497.57,0,0.21,393.08,351
B2113,south,498.27,0,0.21,393.63,352
B2113,west,495.66999999999996,0,0.21,391.58,353
B2113,roofs,429.15,1,0.8,343.32,354
B2536,north,305.98999999999995,0,0.15,260.09,355
B2536,east,621.35,0,0.15,528.15,356
B2536,south,305.98999999999995,0,0.15,260.09,357
B2536,west,621.35,0,0.15,528.15,358
B2536,roofs,260.8,1,0.8,208.64000000000001,359
B1370,north,279.65,0,0.21,220.92,360
B1370,east,0.0,0,0,0,361
B1370,south,248.47,0,0.21,196.29,362
B1370,west,181.04000000000002,0,0.21,143.02,363
B1370,roofs,147.52,1,0.8,118.01600000000002,364
B3134,north,285.87,0,0.21,225.84,365
